"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.096944327143518,"Health Care",5487702,"USD"
"GS","Goldman Sachs Group Inc.","38141G10","2407966",0.0639146619242179,"Financials",5487702,"USD"
"MSFT","Microsoft Corporation","59491810","2588173",0.0607613076698618,"Information Technology",5487702,"USD"
"MCD","McDonald's Corporation","58013510","2550707",0.0587220649813109,"Consumer Discretionary",5487702,"USD"
"HD","Home Depot Inc.","43707610","2434209",0.0568499415277688,"Consumer Discretionary",5487702,"USD"
"AMGN","Amgen Inc.","03116210","2023607",0.0461344993924364,"Health Care",5487702,"USD"
"V","Visa Inc. Class A","92826C83","B2PZN04",0.0448831102406719,"Financials",5487702,"USD"
"CAT","Caterpillar Inc.","14912310","2180201",0.0418550929124343,"Industrials",5487702,"USD"
"BA","Boeing Company","09702310","2108601",0.0392030863625524,"Industrials",5487702,"USD"
"HON","Honeywell International Inc.","43851610","2020459",0.0390379572375169,"Industrials",5487702,"USD"
"CRM","Salesforce Inc.","79466L30","2310525",0.0382739950209649,"Information Technology",5487702,"USD"
"TRV","Travelers Companies Inc.","89417E10","2769503",0.0356398994608442,"Financials",5487702,"USD"
"AAPL","Apple Inc.","03783310","2046251",0.0329839126910153,"Information Technology",5487702,"USD"
"JNJ","Johnson & Johnson","47816010","2475833",0.0322557524528806,"Health Care",5487702,"USD"
"CVX","Chevron Corporation","16676410","2838555",0.0310799574784503,"Energy",5487702,"USD"
"PG","Procter & Gamble Company","74271810","2704407",0.0309386996725439,"Consumer Staples",5487702,"USD"
"WMT","Walmart Inc.","93114210","2936921",0.029935994263043,"Consumer Staples",5487702,"USD"
"AXP","American Express Company","02581610","2026082",0.0296057360129721,"Financials",5487702,"USD"
"JPM","JPMorgan Chase & Co.","46625H10","2190385",0.0266831645116709,"Financials",5487702,"USD"
"NKE","NIKE Inc. Class B","65410610","2640147",0.0246041396247557,"Consumer Discretionary",5487702,"USD"
"IBM","International Business Machines Corporation","45920010","2005973",0.0243852975315416,"Information Technology",5487702,"USD"
"MRK","Merck & Co. Inc.","58933Y10","2778844",0.0233507603630177,"Health Care",5487702,"USD"
"MMM","3M Company","88579Y10","2595708",0.0202610596261549,"Industrials",5487702,"USD"
"DIS","Walt Disney Company","25468710","2270726",0.0193876713627195,"Communication Services",5487702,"USD"
"KO","Coca-Cola Company","19121610","2206657",0.012677090536023,"Consumer Staples",5487702,"USD"
"DOW","Dow Inc.","26055710","BHXCF84",0.0106159666383164,"Materials",5487702,"USD"
"CSCO","Cisco Systems Inc.","17275R10","2198163",0.00909201242460658,"Information Technology",5487702,"USD"
"VZ","Verizon Communications Inc.","92343V10","2090571",0.00743078062493733,"Communication Services",5487702,"USD"
"WBA","Walgreens Boots Alliance Inc.","93142710","BTN1Y44",0.00627686685966266,"Consumer Staples",5487702,"USD"
"INTC","Intel Corporation","45814010","2463247",0.00621519345159014,"Information Technology",5487702,"USD"
