"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","Apple Inc.","03783310","2046251",0.0726191846087535,"Information Technology",161770780,"USD"
"MSFT","Microsoft Corporation","59491810","2588173",0.0669550657867905,"Information Technology",80966830,"USD"
"AMZN","Amazon.com Inc.","02313510","2000019",0.0273114645490924,"Consumer Discretionary",96988140,"USD"
"NVDA","NVIDIA Corporation","67066G10","2379504",0.019972370474071,"Information Technology",26762454,"USD"
"GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.0183672821160536,"Communication Services",64795750,"USD"
"BRK-B","Berkshire Hathaway Inc. Class B","08467070","2073390",0.0169832555679943,"Financials",19600984,"USD"
"GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.0160912575634712,"Communication Services",56485892,"USD"
"META","Meta Platforms Inc. Class A","30303M10","B7TL820",0.0153104705310226,"Communication Services",24214272,"USD"
"UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.0134113231611431,"Health Care",10164828,"USD"
"XOM","Exxon Mobil Corporation","30231G10","2326618",0.0128629790615142,"Energy",44800070,"USD"
"TSLA","Tesla Inc.","88160R10","B616C79",0.0127708199690982,"Consumer Discretionary",29259088,"USD"
"JNJ","Johnson & Johnson","47816010","2475833",0.0124863018985453,"Health Care",28443124,"USD"
"JPM","JPMorgan Chase & Co.","46625H10","2190385",0.0115883133029905,"Financials",31910492,"USD"
"PG","Procter & Gamble Company","74271810","2704407",0.0108067861975262,"Consumer Staples",25665232,"USD"
"V","Visa Inc. Class A","92826C83","B2PZN04",0.010798565386461,"Financials",17678040,"USD"
"LLY","Eli Lilly and Company","53245710","2516152",0.00995311197402736,"Health Care",8579778,"USD"
"MA","Mastercard Incorporated Class A","57636Q10","B121557",0.00934781225515709,"Financials",9178895,"USD"
"MRK","Merck & Co. Inc.","58933Y10","2778844",0.00876570482443798,"Health Care",27582684,"USD"
"HD","Home Depot Inc.","43707610","2434209",0.00857873637813107,"Consumer Discretionary",11087766,"USD"
"CVX","Chevron Corporation","16676410","2838555",0.00818626765716706,"Energy",19353364,"USD"
"PEP","PepsiCo Inc.","71344810","2681511",0.00784527401473429,"Consumer Staples",14983169,"USD"
"ABBV","AbbVie Inc.","00287Y10","B92SR70",0.00767649736322986,"Health Care",19239348,"USD"
"AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.00751087102253508,"Information Technology",4546250,"USD"
"KO","Coca-Cola Company","19121610","2206657",0.0073053307439312,"Consumer Staples",42341984,"USD"
"COST","Costco Wholesale Corporation","22160K10","2701271",0.00640911232302179,"Consumer Staples",4827339,"USD"
"MCD","McDonald's Corporation","58013510","2550707",0.00636800826769569,"Consumer Discretionary",7968064,"USD"
"PFE","Pfizer Inc.","71708110","2684703",0.00632133366277917,"Health Care",61067704,"USD"
"TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.00630372192520514,"Health Care",4266755,"USD"
"WMT","Walmart Inc.","93114210","2936921",0.00621562323338821,"Consumer Staples",15256045,"USD"
"ABT","Abbott Laboratories","00282410","2002305",0.00569379174949401,"Health Care",18968534,"USD"
"CRM","Salesforce Inc.","79466L30","2310525",0.00566688909527814,"Information Technology",10879071,"USD"
"BAC","Bank of America Corp","06050510","2295677",0.00554897746211641,"Financials",75930670,"USD"
"CSCO","Cisco Systems Inc.","17275R10","2198163",0.00553022561205889,"Information Technology",44692372,"USD"
"DIS","Walt Disney Company","25468710","2270726",0.00524393736686061,"Communication Services",19873884,"USD"
"LIN","Linde plc","G5495010","BNZHB81",0.00523368635549583,"Materials",5357332,"USD"
"CMCSA","Comcast Corporation Class A","20030N10","2044545",0.00498378169990251,"Communication Services",45764030,"USD"
"ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.00494361773732597,"Information Technology",6851016,"USD"
"DHR","Danaher Corporation","23585110","2250870",0.00467888161846048,"Health Care",7130862,"USD"
"VZ","Verizon Communications Inc.","92343V10","2090571",0.00462075588377549,"Communication Services",45690836,"USD"
"NKE","NIKE Inc. Class B","65410610","2640147",0.00453784770405448,"Consumer Discretionary",13551666,"USD"
"ADBE","Adobe Incorporated","00724F10","2008154",0.00452877680911999,"Information Technology",4980452,"USD"
"NEE","NextEra Energy Inc.","65339F10","2328915",0.00442000607779964,"Utilities",21618508,"USD"
"TXN","Texas Instruments Incorporated","88250810","2885409",0.00433143733960793,"Information Technology",9856455,"USD"
"PM","Philip Morris International Inc.","71817210","B2PKRQ3",0.00430983520834166,"Consumer Staples",16865048,"USD"
"ORCL","Oracle Corporation","68389X10","2661568",0.00429938417724293,"Information Technology",16719624,"USD"
"NFLX","Netflix Inc.","64110L10","2857817",0.00420814517560303,"Communication Services",4844964,"USD"
"BMY","Bristol-Myers Squibb Company","11012210","2126335",0.00418492288449178,"Health Care",23130638,"USD"
"RTX","Raytheon Technologies Corporation","75513E10","BM5M5Y3",0.00413921837528491,"Industrials",15937343,"USD"
"WFC","Wells Fargo & Company","94974610","2649100",0.00412162663968427,"Financials",41454650,"USD"
"AMD","Advanced Micro Devices Inc.","00790310","2007849",0.00411350583848603,"Information Technology",17540868,"USD"
"HON","Honeywell International Inc.","43851610","2020459",0.00386185101022067,"Industrials",7268744,"USD"
"INTC","Intel Corporation","45814010","2463247",0.00380698559719902,"Information Technology",45006704,"USD"
"UPS","United Parcel Service Inc. Class B","91131210","2517382",0.00372541754969545,"Industrials",7939780,"USD"
"AMGN","Amgen Inc.","03116210","2023607",0.00364742985542954,"Health Care",5809143,"USD"
"LOW","Lowe's Companies Inc.","54866110","2536763",0.00361240640001543,"Consumer Discretionary",6578638,"USD"
"UNP","Union Pacific Corporation","90781810","2914734",0.00355176041668271,"Industrials",6656591,"USD"
"T","AT&T Inc.","00206R10","2831811",0.00355055029729233,"Communication Services",77546020,"USD"
"SBUX","Starbucks Corporation","85524410","2842255",0.00354526977631613,"Consumer Discretionary",12503372,"USD"
"COP","ConocoPhillips","20825C10","2685717",0.00350990628735431,"Energy",13314401,"USD"
"INTU","Intuit Inc.","46120210","2459020",0.00350178548615606,"Information Technology",3061412,"USD"
"QCOM","QUALCOMM Incorporated","74752510","2714923",0.00349988529868357,"Information Technology",12127899,"USD"
"MDT","Medtronic Plc","G5960L10","BTN1Y11",0.00349783509641061,"Health Care",14471076,"USD"
"PLD","Prologis Inc.","74340W10","B44WZD7",0.00339021447856046,"Real Estate",10026327,"USD"
"SPGI","S&P Global Inc.","78409V10","BYV2325",0.00336990247457814,"Financials",3581434,"USD"
"IBM","International Business Machines Corporation","45920010","2005973",0.00326438206393443,"Information Technology",9836117,"USD"
"BA","Boeing Company","09702310","2108601",0.0032640920353202,"Industrials",6117765,"USD"
"CAT","Caterpillar Inc.","14912310","2180201",0.00322500817930697,"Industrials",5661527,"USD"
"ELV","Elevance Health Inc.","03675210","BSPHGL4",0.00321290698540318,"Health Care",2598263,"USD"
"GS","Goldman Sachs Group Inc.","38141G10","2407966",0.00320457616348429,"Financials",3684014,"USD"
"GE","General Electric Company","36960430","BL59CR9",0.00318149388618681,"Industrials",11830470,"USD"
"MS","Morgan Stanley","61744644","2262314",0.0031792636661533,"Financials",14213513,"USD"
"ISRG","Intuitive Surgical Inc.","46120E60","2871301",0.00312956876325418,"Health Care",3811960,"USD"
"MDLZ","Mondelez International Inc. Class A","60920710","B8CKK03",0.00310454629453742,"Consumer Staples",14834827,"USD"
"LMT","Lockheed Martin Corporation","53983010","2522096",0.00302470841773249,"Industrials",2471837,"USD"
"DE","Deere & Company","24419910","2261203",0.00297587359968935,"Industrials",2941892,"USD"
"BKNG","Booking Holdings Inc.","09857L10","BDRXDB4",0.0029703730570058,"Consumer Discretionary",421355,"USD"
"GILD","Gilead Sciences Inc.","37555810","2369174",0.00288425456055494,"Health Care",13566250,"USD"
"SYK","Stryker Corporation","86366710","2853688",0.00282681889395208,"Health Care",3667956,"USD"
"AMAT","Applied Materials Inc.","03822210","2046552",0.00279262552043385,"Information Technology",9171912,"USD"
"BLK","BlackRock Inc.","09247X10","2494504",0.00279112537242924,"Financials",1631937,"USD"
"ADI","Analog Devices Inc.","03265410","2032067",0.00270731710390547,"Information Technology",5514124,"USD"
"AMT","American Tower Corporation","03027X10","B7FBFL2",0.00266200263317979,"Real Estate",5057304,"USD"
"VRTX","Vertex Pharmaceuticals Incorporated","92532F10","2931034",0.00262471895477208,"Health Care",2796878,"USD"
"TJX","TJX Companies Inc","87254010","2989301",0.00262278876433949,"Consumer Discretionary",12568527,"USD"
"AXP","American Express Company","02581610","2026082",0.00261565806082428,"Financials",6491673,"USD"
"ADP","Automatic Data Processing Inc.","05301510","2065308",0.00260966746979257,"Industrials",4507798,"USD"
"CVS","CVS Health Corporation","12665010","2577609",0.0026020267159558,"Health Care",13969926,"USD"
"MMC","Marsh & McLennan Companies Inc.","57174810","2567741",0.00258642517670793,"Financials",5387025,"USD"
"NOW","ServiceNow Inc.","81762P10","B80NXX8",0.00257439398971102,"Information Technology",2208506,"USD"
"C","Citigroup Inc.","17296742","2297907",0.00255745231824572,"Financials",21036218,"USD"
"TMUS","T-Mobile US Inc.","87259010","B94Q9V0",0.00246462315972094,"Communication Services",6443740,"USD"
"ZTS","Zoetis Inc. Class A","98978V10","B95WG16",0.00244613133531754,"Health Care",5062003,"USD"
"MO","Altria Group Inc.","02209S10","2692632",0.00242581933133523,"Consumer Staples",19421456,"USD"
"PYPL","PayPal Holdings Inc.","70450Y10","BYW36M8",0.00239319611272848,"Financials",12308339,"USD"
"REGN","Regeneron Pharmaceuticals Inc.","75886F10","2730190",0.00238729553057705,"Health Care",1169528,"USD"
"CB","Chubb Limited","H1467J10","B3BQMF6",0.00238579538257244,"Financials",4507753,"USD"
"SO","Southern Company","84258710","2829601",0.00237717453203933,"Utilities",11824187,"USD"
"DUK","Duke Energy Corporation","26441C20","B7VD3F2",0.00222197922046989,"Utilities",8364379,"USD"
"FISV","Fiserv Inc.","33773810","2342034",0.00219934698757379,"Financials",6896502,"USD"
"BSX","Boston Scientific Corporation","10113710","2113434",0.00218786585484524,"Health Care",15557004,"USD"
"PGR","Progressive Corporation","74331510","2705024",0.00216978407089643,"Financials",6354909,"USD"
"CI","Cigna Group","12552310","BHJ0775",0.00214398152521728,"Health Care",3249307,"USD"
"SCHW","Charles Schwab Corp","80851310","2779397",0.00212836998498272,"Financials",16594005,"USD"
"BDX","Becton Dickinson and Company","07588710","2087807",0.00210978815169905,"Health Care",3086411,"USD"
"TGT","Target Corporation","87612E10","2259101",0.00206453368689355,"Consumer Staples",4998898,"USD"
"LRCX","Lam Research Corporation","51280710","2502247",0.00203602087381941,"Information Technology",1467966,"USD"
"CL","Colgate-Palmolive Company","19416210","2209106",0.00198765610215104,"Consumer Staples",9086394,"USD"
"EQIX","Equinix Inc.","29444U70","BVLZX12",0.00198489582982257,"Real Estate",1005112,"USD"
"ETN","Eaton Corp. Plc","G2918310","B8KQN82",0.00197327468328025,"Industrials",4326634,"USD"
"CME","CME Group Inc. Class A","12572Q10","2965839",0.00194587197972952,"Financials",3907233,"USD"
"HUM","Humana Inc.","44485910","2445063",0.0019455619491419,"Health Care",1359589,"USD"
"MU","Micron Technology Inc.","59511210","2588184",0.00194495188895336,"Information Technology",11871045,"USD"
"AON","Aon Plc Class A","G0403H10","BLP1HW5",0.00193998139856478,"Financials",2234113,"USD"
"CSX","CSX Corporation","12640810","2160753",0.00193589099500557,"Industrials",22835214,"USD"
"EOG","EOG Resources Inc.","26875P10","2318024",0.00192264968861828,"Energy",6379287,"USD"
"APD","Air Products and Chemicals Inc.","00915810","2011602",0.00189864732054464,"Materials",2409093,"USD"
"SLB","Schlumberger N.V.","80685710","2779201",0.00188546602007754,"Energy",15450338,"USD"
"NOC","Northrop Grumman Corp.","66680710","2648806",0.00187382487156183,"Industrials",1564905,"USD"
"ITW","Illinois Tool Works Inc.","45230810","2457552",0.00185750326127176,"Industrials",3019579,"USD"
"WM","Waste Management Inc.","94106L10","2937667",0.00184328185818813,"Industrials",4056764,"USD"
"ICE","Intercontinental Exchange Inc.","45866F10","BFSSDS9",0.00175730337555103,"Financials",6079742,"USD"
"HCA","HCA Healthcare Inc","40412C10","B4MGBG6",0.00173109078941728,"Health Care",2302826,"USD"
"ORLY","O'Reilly Automotive Inc.","67103H10","B65LWX6",0.0017185895560456,"Consumer Discretionary",679843,"USD"
"CDNS","Cadence Design Systems Inc.","12738710","2302232",0.0016567434543092,"Information Technology",2984324,"USD"
"MMM","3M Company","88579Y10","2595708",0.00165548332998534,"Industrials",6003639,"USD"
"CMG","Chipotle Mexican Grill Inc.","16965610","B0X7DZ3",0.00165441322440872,"Consumer Discretionary",300472,"USD"
"SNPS","Synopsys Inc.","87160710","2867719",0.00164601239558295,"Information Technology",1658153,"USD"
"EW","Edwards Lifesciences Corporation","28176E10","2567116",0.00159914777191918,"Health Care",6719022,"USD"
"SHW","Sherwin-Williams Company","82434810","2804211",0.00157915579951118,"Materials",2565411,"USD"
"ATVI","Activision Blizzard Inc.","00507V10","2575818",0.00156480438360049,"Communication Services",7747950,"USD"
"GIS","General Mills Inc.","37033410","2367026",0.00155240316009578,"Consumer Staples",6413174,"USD"
"FDX","FedEx Corporation","31428X10","2142784",0.00154839276443014,"Industrials",2526207,"USD"
"KLAC","KLA Corporation","48248010","2480138",0.00152244020395052,"Information Technology",1506504,"USD"
"CCI","Crown Castle Inc.","22822V10","BTGQCX1",0.00149750774411403,"Real Estate",4702920,"USD"
"FCX","Freeport-McMoRan Inc.","35671D85","2352118",0.00148287630057581,"Materials",15549740,"USD"
"AZO","AutoZone Inc.","05333210","2065955",0.00147107513627294,"Consumer Discretionary",204127,"USD"
"PXD","Pioneer Natural Resources Company","72378710","2690830",0.00144134220282173,"Energy",2583341,"USD"
"KMB","Kimberly-Clark Corporation","49436810","2491839",0.00143572164829782,"Consumer Staples",3671798,"USD"
"MCK","McKesson Corporation","58155Q10","2378534",0.00143219129999366,"Health Care",1489807,"USD"
"MSI","Motorola Solutions Inc.","62007630","B5BKPQ4",0.00143036111942804,"Information Technology",1819041,"USD"
"DG","Dollar General Corporation","25667710","B5B1S13",0.00142627071586883,"Consumer Staples",2432261,"USD"
"SRE","Sempra Energy","81685110","2138158",0.00141895999459307,"Utilities",3414256,"USD"
"ROP","Roper Technologies Inc.","77669610","2749602",0.00141443954860587,"Information Technology",1151953,"USD"
"MPC","Marathon Petroleum Corporation","56585A10","B3K3L40",0.00140497861519017,"Energy",4939012,"USD"
"MAR","Marriott International Inc. Class A","57190320","2210614",0.00139650777945752,"Consumer Discretionary",2922502,"USD"
"EMR","Emerson Electric Co.","29101110","2313405",0.00139255738971207,"Industrials",6215923,"USD"
"D","Dominion Energy Inc","25746U10","2542049",0.00138853699305974,"Utilities",9065248,"USD"
"MCO","Moody's Corporation","61536910","2252058",0.00138540668422347,"Financials",1707535,"USD"
"GD","General Dynamics Corporation","36955010","2365161",0.00138443658851382,"Industrials",2448194,"USD"
"AEP","American Electric Power Company Inc.","02553710","2026242",0.00138174632309224,"Utilities",5580832,"USD"
"EL","Estee Lauder Companies Inc. Class A","51843910","2320524",0.0013717053324481,"Consumer Staples",2520409,"USD"
"NSC","Norfolk Southern Corporation","65584410","2641894",0.0013683249989444,"Industrials",2478086,"USD"
"PSA","Public Storage","74460D10","2852533",0.00135175336398689,"Real Estate",1719715,"USD"
"PNC","PNC Financial Services Group Inc.","69347510","2692665",0.00134792298608181,"Financials",4380683,"USD"
"F","Ford Motor Company","34537086","2615468",0.00133781198853079,"Consumer Discretionary",42741096,"USD"
"DXCM","DexCom Inc.","25213110","B0796X4",0.00133378159089176,"Health Care",4195170,"USD"
"BIIB","Biogen Inc.","09062X10","2455965",0.00133191140637935,"Health Care",1568731,"USD"
"AJG","Arthur J. Gallagher & Co.","36357610","2359506",0.00131719995494756,"Financials",2307415,"USD"
"APH","Amphenol Corporation Class A","03209510","2145084",0.00130526877781762,"Information Technology",6463763,"USD"
"MRNA","Moderna Inc.","60770K10","BGSXTS3",0.00130499875117679,"Health Care",3587924,"USD"
"GM","General Motors Company","37045V10","B665KZ5",0.00130186844234052,"Consumer Discretionary",15172356,"USD"
"MNST","Monster Beverage Corporation","61174X10","BZ07BW4",0.00129510777533311,"Consumer Staples",8272480,"USD"
"PSX","Phillips 66","71854610","B78C4Y8",0.00126713501554063,"Energy",5069699,"USD"
"ECL","Ecolab Inc.","27886510","2304227",0.00125812412652632,"Materials",2695830,"USD"
"OXY","Occidental Petroleum Corporation","67459910","2655408",0.00125517383545061,"Energy",7897211,"USD"
"NXPI","NXP Semiconductors NV","N6596X10","B505PN7",0.00124809313686888,"Information Technology",2814283,"USD"
"EXC","Exelon Corporation","30161N10","2670519",0.00124583291387528,"Utilities",10810961,"USD"
"ADSK","Autodesk Inc.","05276910","2065159",0.00122784113880675,"Information Technology",2349215,"USD"
"MCHP","Microchip Technology Incorporated","59501710","2592174",0.00122700105592418,"Information Technology",5960260,"USD"
"TRV","Travelers Companies Inc.","89417E10","2769503",0.00121952031787456,"Financials",2514215,"USD"
"PH","Parker-Hannifin Corporation","70109410","2671501",0.00121773014125574,"Industrials",1395445,"USD"
