row_id,order_date,region,product_name,budget
1,2022-11-08 00:00:00,South,Bush Somerset Collection Bookcase,261.96
2,2022-11-08 00:00:00,South,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,2022-06-12 00:00:00,West,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,2021-10-11 00:00:00,South,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,2021-10-11 00:00:00,South,Eldon Fold 'N Roll Cart System,22.368
6,2020-06-09 00:00:00,West,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,2020-06-09 00:00:00,West,Newell 322,7.28
8,2020-06-09 00:00:00,West,Mitel 5320 IP Phone VoIP phone,907.152
9,2020-06-09 00:00:00,West,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,2020-06-09 00:00:00,West,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,2020-06-09 00:00:00,West,Chromcraft Rectangular Conference Tables,1706.184
12,2020-06-09 00:00:00,West,Konftel 250 Conference phone - Charcoal black,911.424
13,2023-04-15 00:00:00,South,Xerox 1967,15.552
14,2022-12-05 00:00:00,West,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,2021-11-22 00:00:00,Central,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,2021-11-22 00:00:00,Central,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,2020-11-11 00:00:00,Central,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,2020-05-13 00:00:00,West,Fellowes Super Stor/Drawer,55.5
19,2020-08-27 00:00:00,West,Newell 341,8.56
20,2020-08-27 00:00:00,West,Cisco SPA 501G IP Phone,213.48
21,2020-08-27 00:00:00,West,"Wilson Jones Hanging View Binder, White, 1""",22.72
22,2022-12-09 00:00:00,Central,Newell 318,19.46
23,2022-12-09 00:00:00,Central,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,2023-07-16 00:00:00,East,"Global Deluxe Stacking Chair, Gray",71.372
25,2021-09-25 00:00:00,West,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,2022-01-16 00:00:00,West,Wilson Jones Active Use Binders,11.648
27,2022-01-16 00:00:00,West,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
29,2021-09-17 00:00:00,East,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,2021-09-17 00:00:00,East,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,2021-09-17 00:00:00,East,Poly String Tie Envelopes,3.264
32,2021-09-17 00:00:00,East,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,2021-09-17 00:00:00,East,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
34,2021-09-17 00:00:00,East,Lumber Crayons,15.76
35,2023-10-19 00:00:00,Central,Easy-staple paper,29.472
36,2022-12-08 00:00:00,Central,GE 30524EE4,1097.544
37,2022-12-08 00:00:00,Central,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,2021-12-27 00:00:00,Central,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,2021-12-27 00:00:00,Central,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,2021-12-27 00:00:00,Central,"Global Fabric Manager's Chair, Dark Gray",212.058
41,2021-12-27 00:00:00,Central,Plantronics HL10 Handset Lifter,371.168
42,2023-09-10 00:00:00,Central,Panasonic Kx-TS550,147.168
43,2022-07-17 00:00:00,West,"Eldon Base for stackable storage shelf, platinum",77.88
44,2023-09-19 00:00:00,South,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,2022-03-11 00:00:00,Central,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,2022-03-11 00:00:00,Central,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,2020-10-20 00:00:00,Central,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,2022-06-20 00:00:00,East,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
49,2022-06-20 00:00:00,East,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,2021-04-18 00:00:00,Central,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,2021-04-18 00:00:00,Central,Avery 485,75.18
52,2021-04-18 00:00:00,Central,Longer-Life Soft White Bulbs,6.16
53,2021-04-18 00:00:00,Central,"Global Leather Task Chair, Black",89.99
54,2022-12-11 00:00:00,East,Advantus Push Pins,15.26
55,2022-12-11 00:00:00,East,AT&T CL83451 4-Handset Telephone,1029.95
56,2022-06-17 00:00:00,East,Home/Office Personal File Carts,208.56
57,2022-06-17 00:00:00,East,Xerox 232,32.4
58,2022-06-17 00:00:00,East,Novimex Turbo Task Chair,319.41
59,2022-06-17 00:00:00,East,"Array Parchment Paper, Assorted Colors",14.56
