Order ID,Order Date,Ship Date,Shipping ID,Customer ID,Postal Code ID,Product ID,Shipping Duration,Sales,Quantity,Discount,Profit,Regional Sales Manager ID
CA-2017-103800,03/01/2017,07/01/2017,4,DP-13000,426,OFF-PA-10000174,4,16.45,2,20%,5.55,3
CA-2017-112326,04/01/2017,08/01/2017,4,PO-19195,345,OFF-LA-10003223,4,11.78,3,20%,4.27,3
CA-2017-112326,04/01/2017,08/01/2017,4,PO-19195,345,OFF-ST-10002743,4,272.74,3,20%,-64.77,3
CA-2017-112326,04/01/2017,08/01/2017,4,PO-19195,345,OFF-BI-10004094,4,3.54,2,80%,-5.49,3
CA-2017-141817,05/01/2017,12/01/2017,4,MB-18085,83,OFF-AR-10003478,7,19.54,3,20%,4.88,2
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,OFF-FA-10001883,4,31.12,4,0%,0.31,4
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,FUR-CH-10004063,4,"2,573.82",9,0%,746.41,4
CA-2017-106054,06/01/2017,07/01/2017,1,JO-15145,142,OFF-AR-10002399,1,12.78,3,0%,5.24,4
CA-2017-130813,06/01/2017,08/01/2017,3,LS-17230,520,OFF-PA-10002005,2,19.44,3,0%,9.33,1
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,OFF-PA-10000955,4,6.54,1,0%,3.01,4
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,OFF-BI-10004632,4,609.98,2,0%,274.49,4
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,OFF-AR-10001662,4,5.48,2,0%,1.48,4
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,TEC-PH-10004977,4,391.98,2,0%,113.67,4
CA-2017-167199,06/01/2017,10/01/2017,4,ME-17320,218,TEC-PH-10004539,4,755.96,4,0%,204.11,4
CA-2017-105417,07/01/2017,12/01/2017,4,VS-21820,428,OFF-BI-10003708,5,10.43,7,80%,-18.25,3
CA-2017-105417,07/01/2017,12/01/2017,4,VS-21820,428,FUR-FU-10004864,5,76.73,3,60%,-53.71,3
CA-2017-135405,09/01/2017,13/01/2017,4,MS-17830,441,OFF-AR-10004078,4,9.34,2,20%,1.17,3
CA-2017-135405,09/01/2017,13/01/2017,4,MS-17830,441,TEC-AC-10001266,4,31.2,3,20%,9.75,3
CA-2017-149020,10/01/2017,15/01/2017,4,AJ-10780,96,OFF-LA-10004272,5,2.89,1,0%,1.36,4
CA-2017-149020,10/01/2017,15/01/2017,4,AJ-10780,96,FUR-FU-10000965,5,51.94,1,0%,21.3,4
CA-2017-130092,11/01/2017,14/01/2017,1,SV-20365,87,FUR-FU-10000010,3,9.94,2,0%,3.08,2
CA-2017-118192,13/01/2017,18/01/2017,4,MM-17920,220,OFF-BI-10003476,5,3.44,2,70%,-2.52,2
CA-2017-157147,13/01/2017,18/01/2017,4,BD-11605,578,OFF-ST-10000078,5,"1,325.85",5,0%,238.65,1
CA-2017-157147,13/01/2017,18/01/2017,4,BD-11605,578,OFF-AR-10003514,5,19.9,5,0%,6.57,1
CA-2017-109232,13/01/2017,16/01/2017,3,ND-18370,131,FUR-CH-10000422,3,545.94,6,0%,87.35,4
CA-2017-162775,13/01/2017,15/01/2017,3,CS-12250,380,TEC-AC-10003174,2,646.74,6,0%,258.7,4
CA-2017-162775,13/01/2017,15/01/2017,3,CS-12250,380,OFF-ST-10000025,2,572.58,6,0%,34.35,4
CA-2017-162775,13/01/2017,15/01/2017,3,CS-12250,380,OFF-EN-10001990,2,11.36,2,0%,5.34,4
CA-2017-162775,13/01/2017,15/01/2017,3,CS-12250,380,OFF-EN-10001532,2,50.94,3,0%,25.47,4
CA-2017-162775,13/01/2017,15/01/2017,3,CS-12250,380,OFF-BI-10004187,2,5.64,3,0%,2.71,4
CA-2017-118192,13/01/2017,18/01/2017,4,MM-17920,220,OFF-PA-10002947,5,37.41,7,20%,13.09,2
CA-2017-157147,13/01/2017,18/01/2017,4,BD-11605,578,FUR-BO-10003034,5,334,3,15%,3.93,1
CA-2017-149524,14/01/2017,15/01/2017,1,BS-11590,82,FUR-BO-10003433,1,61.96,4,50%,-53.29,2
CA-2017-103366,15/01/2017,17/01/2017,1,EH-13990,136,TEC-AC-10003628,2,149.95,5,0%,65.98,4
CA-2017-115791,16/01/2017,18/01/2017,3,DL-13315,81,OFF-BI-10001575,2,18.59,2,70%,-13.63,2
CA-2017-115791,16/01/2017,18/01/2017,3,DL-13315,81,OFF-LA-10001074,2,30.07,3,20%,10.15,2
CA-2017-115791,16/01/2017,18/01/2017,3,DL-13315,81,FUR-FU-10001095,2,127.1,6,20%,28.6,2
CA-2017-115791,16/01/2017,18/01/2017,3,DL-13315,81,TEC-PH-10004614,2,124.2,3,40%,-31.05,2
CA-2017-123477,18/01/2017,21/01/2017,3,DW-13195,611,OFF-AP-10000692,3,64.86,4,20%,6.49,1
CA-2017-146591,19/01/2017,20/01/2017,1,TS-21340,494,OFF-PA-10000659,1,56.06,4,20%,19.62,1
CA-2017-146591,19/01/2017,20/01/2017,1,TS-21340,494,OFF-BI-10003676,1,32.34,10,70%,-23.72,1
CA-2017-146591,19/01/2017,20/01/2017,1,TS-21340,494,FUR-BO-10001972,1,181.47,5,70%,-320.6,1
CA-2017-146591,19/01/2017,20/01/2017,1,TS-21340,494,OFF-EN-10002504,1,108.72,5,20%,36.69,1
US-2017-147627,20/01/2017,26/01/2017,4,HL-15040,387,FUR-FU-10003194,6,38.6,4,0%,11.58,4
